,ID,Name,Date,Time,Event,Status,Latitude,Longitude,Maximum Wind,Year
77,AL011928,            UNNAMED,19280813,1800, L, TS,38.5,-63.6,90,1928
78,AL011929,            UNNAMED,19290630,2100, L, TS,33.0,-93.3,80,1929
79,AL011930,            UNNAMED,19300903,1800,  , TS,46.0,-24.9,110,1930
80,AL011931,            UNNAMED,19310628,2200, L, TS,27.0,-86.8,45,1931
81,AL011932,            UNNAMED,19320511,1800,  , TS,35.0,-67.0,55,1932
82,AL011933,            UNNAMED,19330519,1800,  , TS,23.0,-82.0,45,1933
83,AL011934,            UNNAMED,19340621,1900, L, TS,53.0,-59.4,85,1934
84,AL011935,            UNNAMED,19350519,1800,  , TS,31.0,-55.0,50,1935
85,AL011936,            UNNAMED,19360617,1800, L, TS,35.0,-63.2,40,1936
86,AL011937,            UNNAMED,19370802,2200, L, TS,47.6,-64.3,60,1937
87,AL011938,            UNNAMED,19380106,1800,  , TS,32.3,-34.8,70,1938
88,AL011939,            UNNAMED,19390618,1800, L, TS,40.8,-83.3,55,1939
89,AL011940,            UNNAMED,19400527,1800,  , TS,43.5,-61.5,55,1940
90,AL011941,            UNNAMED,19410916,1800,  , TS,29.9,-86.7,50,1941
91,AL011942,            UNNAMED,19420805,1800,  , TS,22.5,-85.2,50,1942
92,AL011943,            UNNAMED,19430730,1800, L, TS,33.0,-87.7,90,1943
93,AL011944,            UNNAMED,19440720,1800,  , TS,44.2,-49.8,70,1944
94,AL011945,            UNNAMED,19450704,1800, L, TS,64.5,-24.0,85,1945
95,AL011946,            UNNAMED,19460616,1800,  , TS,30.1,-86.5,35,1946
96,AL011947,            UNNAMED,19470802,1800, L, TS,26.1,-93.6,45,1947
97,AL011948,            UNNAMED,19480529,1800,  , TS,36.1,-68.0,45,1948
98,AL011949,            UNNAMED,19490830,1800,  , TS,66.0,-13.0,95,1949
99,AL011950,               ABLE,19500824,1800, L, TS,55.3,-30.3,110,1950
100,AL011951,            UNNAMED,19510112,1800,  , TS,44.7,-41.0,55,1951
101,AL011952,            UNNAMED,19520205,1800,  , TS,46.5,-67.4,60,1952
102,AL011953,              ALICE,19530607,1800, L, TS,31.1,-81.8,60,1953
103,AL011954,            UNNAMED,19540531,1800,  , TS,48.0,-47.0,45,1954
104,AL011955,             BRENDA,19550803,1800, L, TS,32.7,-87.5,60,1955
105,AL011956,            UNNAMED,19560615,1800, L, TS,35.2,-90.6,50,1956
106,AL011957,            UNNAMED,19570615,1800, L, TS,34.5,-58.0,65,1957
107,AL011958,               ALMA,19580616,1800, L, TS,29.1,-94.5,55,1958
108,AL011959,             ARLENE,19590602,2200, L, TS,34.4,-80.0,55,1959
109,AL011960,            UNNAMED,19600628,1800, L, TS,38.5,-89.0,50,1960
110,AL011961,               ANNA,19610724,1800,  , TS,16.9,-60.2,100,1961
111,AL011962,               ALMA,19620902,1800,  , TS,45.3,-55.5,85,1962
112,AL011963,             ARLENE,19630811,1800,  , TS,44.8,-39.4,90,1963
113,AL011964,            UNNAMED,19640611,1800,  , TS,39.6,-55.8,50,1964
114,AL011965,            UNNAMED,19650618,1800,  , TS,40.4,-59.1,45,1965
115,AL011966,               ALMA,19660614,1800,  , TS,42.0,-70.5,110,1966
116,AL011967,            UNNAMED,19670612,1800,  , TD,19.0,-85.0,-99,1967
117,AL011968,               ABBY,19680613,1800,  , TS,37.2,-74.5,65,1968
118,AL011969,            UNNAMED,19690602,1800,  , TD,22.3,-81.8,25,1969
119,AL011970,               ALMA,19700527,1800,  , TS,37.0,-75.5,70,1970
120,AL011971,             ARLENE,19710708,1800,  , TS,47.6,-49.6,55,1971
121,AL011972,              ALPHA,19720529,1800,  , SS,34.4,-73.5,60,1972
122,AL011973,            UNNAMED,19730421,1800,  , TD,28.0,-56.5,25,1973
123,AL011974,            UNNAMED,19740626,1800,  , TD,23.5,-87.5,25,1974
124,AL011975,            UNNAMED,19750629,1800,  , TD,40.0,-52.0,30,1975
125,AL011976,            UNNAMED,19760525,1800,  , SS,36.0,-67.0,45,1976
126,AL011977,            UNNAMED,19770614,1800,  , TD,30.0,-94.5,25,1977
127,AL011978,            UNNAMED,19780123,1800,  , SS,24.0,-44.0,40,1978
128,AL011979,            UNNAMED,19790616,1800,  , TD,33.4,-79.0,30,1979
129,AL011980,            UNNAMED,19800721,1800,  , TD,30.8,-76.5,25,1980
130,AL011981,            UNNAMED,19810407,1800,  , TD,21.0,-61.5,30,1981
131,AL011982,            ALBERTO,19820606,1800,  , TS,25.5,-82.6,75,1982
132,AL011983,            UNNAMED,19830728,1800,  , TD,15.0,-38.0,30,1983
133,AL011984,            UNNAMED,19840614,1800,  , TD,30.2,-75.5,30,1984
134,AL011985,                ANA,19850719,1800,  , TS,48.0,-54.5,60,1985
135,AL011986,             ANDREW,19860608,1800,  , TS,39.6,-68.9,45,1986
136,AL011987,            UNNAMED,19870601,1800,  , TD,26.8,-68.5,30,1987
137,AL011988,            ALBERTO,19880808,1800,  , TS,51.0,-56.0,35,1988
138,AL011989,            UNNAMED,19890617,1800,  , TD,20.9,-93.6,25,1989
139,AL011990,            UNNAMED,19900526,1800,  , TD,24.0,-82.2,25,1990
140,AL011991,                ANA,19910705,1800,  , TS,38.0,-50.7,45,1991
141,AL011992,            UNNAMED,19920424,1800,  , SS,25.7,-59.0,45,1992
142,AL011993,            UNNAMED,19930603,1800,  , TD,28.8,-65.3,35,1993
143,AL011994,            ALBERTO,19940707,1800, L, TS,33.5,-83.6,55,1994
144,AL011995,            ALLISON,19950611,1800, L, TS,65.0,-52.0,65,1995
145,AL011996,             ARTHUR,19960623,1800, L, TS,44.0,-37.0,45,1996
146,AL011997,            UNNAMED,19970602,1800,  , SS,40.0,-66.3,45,1997
147,AL011998,               ALEX,19980802,1800,  , TS,21.0,-25.4,45,1998
148,AL011999,             ARLENE,19990618,1800,  , TS,35.4,-57.3,50,1999
149,AL012000,            UNNAMED,20000608,1800,  , TD,21.0,-92.8,25,2000
150,AL012001,            ALLISON,20010619,2100, L, TS,43.5,-61.0,50,2001
151,AL012002,             ARTHUR,20020719,1800,  , TS,58.0,-51.0,50,2002
152,AL012003,                ANA,20030427,1800,  , TS,36.1,-22.4,50,2003
153,AL012004,               ALEX,20040806,1800,  , TS,47.4,-32.7,105,2004
154,AL012005,             ARLENE,20050614,1900, L, TS,44.8,-77.6,60,2005
155,AL012006,            ALBERTO,20060619,1800, L, TS,57.0,-3.0,60,2006
156,AL012007,             ANDREA,20070514,1800,  , SS,35.5,-69.4,65,2007
157,AL012008,             ARTHUR,20080602,1800, L, TS,18.3,-87.5,40,2008
158,AL012009,                ONE,20090530,1800,  , TD,41.0,-58.6,30,2009
159,AL012010,               ALEX,20100702,1800, T, TS,24.3,-82.0,95,2010
160,AL012011,             ARLENE,20110701,1800, L, TS,21.6,-92.8,55,2011
161,AL012012,            ALBERTO,20120523,1800,  , TS,35.9,-66.0,50,2012
162,AL012013,             ANDREA,20130608,2200, L, TS,44.5,-67.0,55,2013
163,AL012014,             ARTHUR,20140709,1800, L, TS,60.3,-54.1,85,2014
164,AL012015,                ANA,20150512,1800, L, TS,43.0,-67.0,50,2015
165,AL021851,            UNNAMED,18510705,1200,  , HU,22.2,-97.6,80,1851
